"fixed.acidity";"volatile.acidity";"citric.acidity";"residual.sugar";"chlorides";"free.sulfur.dioxide";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality";"paises"
8;0,3;0,63;1,6;0,081;16;29;0,99588;3,3;0,78;10,8;6;"France"
8,9;0,32;0,31;2;0,088;12;19;0,9957;3,17;0,55;10,4;6;"Chile"
12;0,5;0,59;1,4;0,073;23;42;0,998;2,92;0,68;10,5;7;"Spain"
6,8;0,57;0;2,5;0,072;32;64;0,99491;3,43;0,56;11,2;6;"Chile"
9,6;0,77;0,12;2,9;0,082;30;74;0,99865;3,3;0,64;10,4;6;"Chile"
7,6;0,95;0,03;2;0,09;7;20;0,9959;3,2;0,56;9,6;5;"France"
7,9;0,37;0,3;2,7;0,029;64;158;0,9916;3,12;0,59;12;7;"Argentina"
8;0,6;0,22;2,1;0,08;25;105;0,99613;3,3;0,49;9,9;5;"Chile"
8,8;0,31;0,4;2,8;0,109;7;16;0,99614;3,31;0,79;11,8;7;"Spain"
8;0,64;0,22;2,4;0,094;5;33;0,99612;3,37;0,58;11;5;"Spain"
12,8;0,3;0,74;2,6;0,095;9;28;0,9994;3,2;0,77;10,8;7;"Chile"
7,6;0,49;0,26;1,6;0,236;10;88;0,9968;3,11;0,8;9,3;5;"Chile"
10,3;0,5;0,42;2;0,069;21;51;0,9982;3,16;0,72;11,5;6;"France"
7,7;0,63;0,08;1,9;0,076;15;27;0,9967;3,32;0,54;9,5;6;"France"
7,5;0,6;0,03;1,8;0,095;25;99;0,995;3,35;0,54;10,1;5;"Spain"
5,5;0,485;0;1,5;0,065;8;103;0,994;3,63;0,4;9,7;4;"Argentina"
6,7;0,64;0,23;2,1;0,08;11;119;0,99538;3,36;0,7;10,9;5;"France"
7,1;0,71;0;1,9;0,08;14;35;0,9972;3,47;0,55;9,4;5;"Spain"
10;0,48;0,24;2,7;0,102;13;32;1;3,28;0,56;10;6;"France"
6,7;0,25;0,36;8,6;0,037;63;206;0,99553;3,18;0,5;9,6;5;"Argentina"
7,4;0,7;0;1,9;0,076;11;34;0,9978;3,51;0,56;9,4;5;"France"
8,2;0,44;0,24;2,3;0,063;10;28;0,99613;3,25;0,53;10,2;6;"Chile"
8,1;0,38;0,48;1,8;0,157;5;17;0,9976;3,3;1,05;9,4;5;"France"
6,8;0,19;0,58;14,2;0,038;51;164;0,9975;3,12;0,48;9,6;6;"Argentina"
9,9;0,63;0,24;2,4;0,077;6;33;0,9974;3,09;0,57;9,4;5;"Chile"
8,3;0,76;0,29;4,2;0,075;12;16;0,9965;3,45;0,68;11,5;6;"Spain"
10,6;0,34;0,49;3,2;0,078;20;78;0,9992;3,19;0,7;10;6;"France"
6,5;0,36;0,32;1,1;0,031;13;66;0,9916;3,1;0,46;10,6;5;"Argentina"
9,7;0,66;0,34;2,6;0,094;12;88;0,99796;3,26;0,66;10,1;5;"France"
5,5;0,12;0,33;1;0,038;23;131;0,99164;3,25;0,45;9,8;5;"Argentina"
5,7;0,6;0;1,4;0,063;11;18;0,99191;3,45;0,56;12,2;6;"Spain"
11,6;0,32;0,55;2,8;0,081;35;67;1,0002;3,32;0,92;10,8;7;"Chile"
6,4;0,795;0;2,2;0,065;28;52;0,99378;3,49;0,52;11,6;5;"Chile"
11,6;0,58;0,66;2,2;0,074;10;47;1,0008;3,25;0,57;9;3;"France"
11,5;0,59;0,59;2,6;0,087;13;49;0,9988;3,18;0,65;11;6;"Spain"
9;0,43;0,34;2,5;0,08;26;86;0,9987;3,38;0,62;9,5;6;"France"
8,2;0,43;0,29;1,6;0,081;27;45;0,99603;3,25;0,54;10,3;5;"Chile"
8,2;0,56;0,23;3,4;0,078;14;104;0,9976;3,28;0,62;9,4;5;"France"
7;0,5;0,14;1,8;0,078;10;23;0,99636;3,53;0,61;10,4;5;"France"
8;0,58;0,28;3,2;0,066;21;114;0,9973;3,22;0,54;9,4;6;"Chile"
12,8;0,84;0,63;2,4;0,088;13;35;0,9997;3,1;0,6;10,4;6;"France"
9,8;0,16;0,46;1,8;0,046;23;130;0,99587;3,04;0,67;9,6;5;"Argentina"
7,8;0,61;0,29;1,6;0,114;9;29;0,9974;3,26;1,56;9,1;5;"Spain"
7,3;0,305;0,39;1,2;0,059;7;11;0,99331;3,29;0,52;11,5;6;"Spain"
7,3;0,66;0;2;0,084;6;23;0,9983;3,61;0,96;9,9;6;"France"
10,2;0,44;0,42;2;0,071;7;20;0,99566;3,14;0,79;11,1;7;"France"
9,5;0,55;0,66;2,3;0,387;12;37;0,9982;3,17;0,67;9,6;5;"Chile"
6,1;0,36;0,27;2,1;0,035;16;100;0,9917;3,4;0,71;11,5;7;"Argentina"
11,6;0,23;0,57;1,8;0,074;3;8;0,9981;3,14;0,7;9,9;6;"Spain"
7,6;0,37;0,34;3,2;0,028;42;162;0,9903;3,01;0,33;12,4;6;"Argentina"
10,6;0,36;0,59;2,2;0,152;6;18;0,9986;3,04;1,05;9,4;5;"Spain"
7,2;0,65;0,02;2,3;0,094;5;31;0,9993;3,67;0,8;9,7;5;"Chile"
12,3;0,5;0,49;2,2;0,089;5;14;1,0002;3,19;0,44;9,6;5;"Spain"
8,1;0,36;0,59;13,6;0,051;60;134;0,99886;2,96;0,39;8,7;5;"Argentina"
9;0,62;0,04;1,9;0,146;27;90;0,9984;3,16;0,7;9,4;5;"Chile"
13,4;0,27;0,62;2,6;0,082;6;21;1,0002;3,16;0,67;9,7;6;"Spain"
6,5;0,46;0,14;2,4;0,114;9;37;0,99732;3,66;0,65;9,8;5;"Chile"
8,7;0,82;0,02;1,2;0,07;36;48;0,9952;3,2;0,58;9,8;5;"France"
5,5;0,18;0,22;5,5;0,037;10;86;0,99156;3,46;0,44;12,2;5;"Argentina"
7,6;0,55;0,21;2,2;0,071;7;28;0,9964;3,28;0,55;9,7;5;"Spain"
6,2;0,46;0,29;2,1;0,074;32;98;0,99578;3,33;0,62;9,8;5;"France"
7,5;0,305;0,38;1,4;0,047;30;95;0,99158;3,22;0,52;11,5;7;"Argentina"
9,2;0,53;0,24;2,6;0,078;28;139;0,99788;3,21;0,57;9,5;5;"France"
7,3;0,25;0,36;2,1;0,034;30;177;0,99085;3,25;0,4;11,9;8;"Argentina"
11,5;0,315;0,54;2,1;0,084;5;15;0,9987;2,98;0,7;9,2;6;"France"
10,3;0,27;0,56;1,4;0,047;3;8;0,99471;3,16;0,51;11,8;6;"Chile"
8,1;0,27;0,35;1,7;0,03;38;103;0,99255;3,22;0,63;10,4;8;"Argentina"
6,1;0,32;0,25;2,3;0,071;23;58;0,99633;3,42;0,97;10,6;5;"France"
11,1;0,42;0,47;2,65;0,085;9;34;0,99736;3,24;0,77;12,1;7;"Spain"
7,8;0,53;0,04;1,7;0,076;17;31;0,9964;3,33;0,56;10;6;"France"
10,5;0,42;0,66;2,95;0,116;12;29;0,997;3,24;0,75;11,7;7;"Chile"
8,7;0,23;0,32;13,4;0,044;35;169;0,99975;3,12;0,47;8,8;7;"Argentina"
5,8;0,385;0,25;3,7;0,031;38;122;0,99128;3,2;0,63;11,2;6;"Argentina"
10,2;0,29;0,49;2,6;0,059;5;13;0,9976;3,05;0,74;10,5;7;"Chile"
6,6;0,5;0,01;1,5;0,06;17;26;0,9952;3,4;0,58;9,8;6;"Spain"
8,2;0,42;0,49;2,6;0,084;32;55;0,9988;3,34;0,75;8,7;6;"France"
8,9;0,635;0,37;1,7;0,263;5;62;0,9971;3;1,09;9,3;5;"Spain"
7,8;0,64;0,1;6;0,115;5;11;0,9984;3,37;0,69;10,1;7;"Chile"
6;0,38;0,26;3,5;0,035;38;111;0,98872;3,18;0,47;13,6;7;"Argentina"
7,2;0,5;0,18;2,1;0,071;12;31;0,99761;3,52;0,72;9,6;6;"Chile"
9,7;0,31;0,47;1,6;0,062;13;33;0,9983;3,27;0,66;10;6;"Chile"
10,4;0,33;0,63;2,8;0,084;5;22;0,9998;3,26;0,74;11,2;7;"Chile"
9,9;0,57;0,25;2;0,104;12;89;0,9963;3,04;0,9;10,1;5;"Chile"
7;0,35;0,3;6,5;0,028;27;87;0,9936;3,4;0,42;11,4;7;"Argentina"
9,5;0,59;0,44;2,3;0,071;21;68;0,9992;3,46;0,63;9,5;5;"Spain"
6,5;0,9;0;1,6;0,052;9;17;0,99467;3,5;0,63;10,9;6;"France"
8,2;0,39;0,49;2,3;0,099;47;133;0,9979;3,38;0,99;9,8;5;"Chile"
6,6;0,855;0,02;2,4;0,062;15;23;0,99627;3,54;0,6;11;6;"Spain"
6,1;0,38;0,14;3,9;0,06;27;113;0,99344;3,07;0,34;9,2;4;"Argentina"
11,6;0,475;0,4;1,4;0,091;6;28;0,99704;3,07;0,65;10,0333333333333;6;"Spain"
8,5;0,585;0,18;2,1;0,078;5;30;0,9967;3,2;0,48;9,8;6;"Spain"
6,7;0,16;0,32;12,5;0,035;18;156;0,99666;2,88;0,36;9;6;"Argentina"
5,7;0,24;0,3;1,3;0,03;25;98;0,98968;3,37;0,43;12,4;7;"Argentina"
7,6;0,18;0,36;2,4;0,049;38;123;0,996;3,6;0,46;10,3;5;"Argentina"
4,6;0,52;0,15;2,1;0,054;8;65;0,9934;3,9;0,56;13,1;4;"Spain"
8,3;0,655;0,12;2,3;0,083;15;113;0,9966;3,17;0,66;9,8;5;"Chile"
6,4;0,17;0,27;9,9;0,047;26;101;0,99596;3,34;0,5;9,9;6;"Argentina"
7,3;0,59;0,26;7,2;0,07;35;121;0,9981;3,37;0,49;9,4;5;"Chile"
7,2;0,3;0,26;1,5;0,041;46;178;0,99154;3,19;0,56;11,3;6;"Argentina"
6,8;0,65;0,02;2,1;0,078;8;15;0,99498;3,35;0,62;10,4;6;"France"
8,7;0,69;0,31;3;0,086;23;81;1,0002;3,48;0,74;11,6;6;"Spain"
7,2;0,24;0,4;17,85;0,049;50;185;1;3,34;0,42;9,6;5;"Argentina"
9,1;0,47;0,49;2,6;0,094;38;106;0,9982;3,08;0,59;9,1;5;"Chile"
7;0,805;0;2,5;0,068;7;20;0,9969;3,48;0,56;9,6;5;"Spain"
6,5;0,885;0;2,3;0,166;6;12;0,99551;3,56;0,51;10,8;5;"France"
7,1;0,6;0;1,8;0,074;16;34;0,9972;3,47;0,7;9,9;6;"France"
8,2;0,2;0,49;3,5;0,057;14;108;0,9928;3,19;0,35;11,5;6;"Argentina"
7,8;0,53;0,01;1,6;0,077;3;19;0,995;3,16;0,46;9,8;5;"Chile"
6,3;0,18;0,36;1,2;0,034;26;111;0,99074;3,16;0,51;11;6;"Argentina"
7,4;0,45;0,32;7,1;0,044;17;117;0,9962;3,32;0,41;10,4;4;"Argentina"
8,7;0,31;0,46;1,4;0,059;11;25;0,9966;3,36;0,76;10,1;6;"France"
7,1;0,46;0,14;2,8;0,076;15;37;0,99624;3,36;0,49;10,7;5;"Spain"
6,9;1,09;0,06;2,1;0,061;12;31;0,9948;3,51;0,43;11,4;4;"Chile"
7,6;0,2;0,3;14,2;0,056;53;212,5;0,999;3,14;0,46;8,9;8;"Argentina"
11,3;0,36;0,66;2,4;0,123;3;8;0,99642;3,2;0,53;11,9;6;"Chile"
6,8;0,21;0,36;18,1;0,046;32;133;1;3,27;0,48;8,8;5;"Argentina"
6,4;0,3;0,38;7,8;0,046;35;192;0,9955;3,1;0,37;9;5;"Argentina"
11,3;0,34;0,45;2;0,082;6;15;0,9988;2,94;0,66;9,2;6;"Chile"
7;0,38;0,49;2,5;0,097;33;85;0,9962;3,39;0,77;11,4;6;"Chile"
6,6;0,19;0,25;1,2;0,052;34;181;0,99352;3,3;0,42;9,4;7;"Argentina"
7,5;0,24;0,31;13,1;0,05;26;180;0,99884;3,05;0,53;9,1;6;"Argentina"
7,2;0,58;0,54;2,1;0,114;3;9;0,99719;3,33;0,57;10,3;4;"France"
7,3;0,23;0,37;1,9;0,041;51;165;0,9908;3,26;0,4;12,2;8;"Argentina"
15,9;0,36;0,65;7,5;0,096;22;71;0,9976;2,98;0,84;14,9;5;"Chile"
7,4;0,61;0,01;2;0,074;13;38;0,99748;3,48;0,65;9,8;5;"Chile"
10,3;0,44;0,5;4,5;0,107;5;13;0,998;3,28;0,83;11,5;5;"France"
6,3;0,24;0,22;11,9;0,05;65;179;0,99659;3,06;0,58;9,3;6;"Argentina"
7,1;0,59;0,02;2,3;0,082;24;94;0,99744;3,55;0,53;9,7;6;"Spain"
5,9;0,61;0,08;2,1;0,071;16;24;0,99376;3,56;0,77;11,1;6;"France"
7,9;0,54;0,34;2,5;0,076;8;17;0,99235;3,2;0,72;13,1;8;"Spain"
7,4;0,19;0,31;14,5;0,045;39;193;0,9986;3,1;0,5;9,2;6;"Argentina"
6,9;0,49;0,1;2,3;0,074;12;30;0,9959;3,42;0,58;10,2;6;"Spain"
6,4;0,64;0,21;1,8;0,081;14;31;0,99689;3,59;0,66;9,8;5;"France"
6,6;0,21;0,38;2,2;0,026;40;104;0,9914;3,25;0,4;11,1;8;"Argentina"
7;0,44;0,24;12,1;0,056;68;210;0,99718;3,05;0,5;9,5;5;"Argentina"
8,2;0,7;0,23;2;0,099;14;81;0,9973;3,19;0,7;9,4;5;"France"
11,3;0,37;0,5;1,8;0,09;20;47;0,99734;3,15;0,57;10,5;5;"France"
6,6;0,25;0,3;14,4;0,052;40;183;0,998;3,02;0,5;9,1;6;"Argentina"
7,1;0,66;0;2,4;0,052;6;11;0,99318;3,35;0,66;12,7;7;"Spain"
8,2;0,34;0,37;1,9;0,057;43;74;0,99408;3,23;0,81;12;6;"Chile"
9,2;0,67;0,1;3;0,091;12;48;0,99888;3,31;0,54;9,5;6;"Chile"
6,3;0,57;0,28;2,1;0,048;13;49;0,99374;3,41;0,6;12,8;5;"Spain"
6,8;0,28;0,44;11,5;0,04;58;223;0,9969;3,22;0,56;9,5;5;"Argentina"
8;0,715;0,22;2,3;0,075;13;81;0,99688;3,24;0,54;9,5;6;"Spain"
7,4;0,58;0;2;0,064;7;11;0,99562;3,45;0,58;11,3;6;"Spain"
5,5;0,49;0,03;1,8;0,044;28;87;0,9908;3,5;0,82;14;8;"Chile"
9,9;0,54;0,45;2,3;0,071;16;40;0,9991;3,39;0,62;9,4;5;"Spain"
7,2;0,25;0,28;14,4;0,055;55;205;0,9986;3,12;0,38;9;7;"Argentina"
6;0,2;0,26;6,8;0,049;22;93;0,9928;3,15;0,42;11;6;"Argentina"
7,4;0,21;0,27;7,3;0,031;41;144;0,9932;3,15;0,38;11,8;7;"Argentina"
6,8;0,27;0,3;13;0,047;69;160;0,99705;3,16;0,5;9,6;6;"Argentina"
8,2;0,34;0,38;2,5;0,08;12;57;0,9978;3,3;0,47;9;6;"France"
7,9;0,6;0,06;1,6;0,069;15;59;0,9964;3,3;0,46;9,4;5;"Spain"
9,9;0,53;0,57;2,4;0,093;30;52;0,9971;3,19;0,76;11,6;7;"France"
7,4;0,52;0,13;2,4;0,078;34;61;0,99528;3,43;0,59;10,8;6;"Spain"
7,3;0,73;0,24;1,9;0,108;18;102;0,9967;3,26;0,59;9,3;5;"France"
6,8;0,59;0,06;6;0,06;11;18;0,9962;3,41;0,59;10,8;7;"Chile"
7;0,23;0,4;1,6;0,063;21;67;0,9952;3,5;0,63;11,1;5;"France"
8,5;0,34;0,44;1,7;0,079;6;12;0,99605;3,52;0,63;10,7;5;"France"
7,7;0,27;0,68;3,5;0,358;5;10;0,9972;3,25;1,08;9,9;7;"Chile"
8,3;0,715;0,15;1,8;0,089;10;52;0,9968;3,23;0,77;9,5;5;"Spain"
9,1;0,5;0,3;1,9;0,065;8;17;0,99774;3,32;0,71;10,5;6;"France"
5,2;0,49;0,26;2,3;0,09;23;74;0,9953;3,71;0,62;12,2;6;"Spain"
6,7;0,46;0,24;1,7;0,077;18;34;0,9948;3,39;0,6;10,6;6;"Spain"
7,2;0,34;0,24;2;0,071;30;52;0,99576;3,44;0,58;10,1;5;"France"
9,2;0,58;0,2;3;0,081;15;115;0,998;3,23;0,59;9,5;5;"Chile"
8,1;0,66;0,7;2,2;0,098;25;129;0,9972;3,08;0,53;9;5;"Chile"
7,8;0,6;0,26;2;0,08;31;131;0,99622;3,21;0,52;9,9;5;"France"
7,6;0,5;0,29;2,3;0,086;5;14;0,99502;3,32;0,62;11,5;6;"France"
7,4;0,2;0,28;9,1;0,047;29;95;0,99532;3,16;0,47;9,8;7;"Argentina"
9,1;0,66;0,15;3,2;0,097;9;59;0,99976;3,28;0,54;9,6;5;"Chile"
11,2;0,66;0,24;2,5;0,085;16;53;0,9993;3,06;0,72;11;6;"Chile"
7,5;0,18;0,31;11,7;0,051;24;94;0,997;3,19;0,44;9,5;7;"Argentina"
9,1;0,5;0,3;1,9;0,065;8;17;0,99774;3,32;0,71;10,5;6;"Spain"
7,5;0,61;0,26;1,9;0,073;24;88;0,99612;3,3;0,53;9,8;5;"Chile"
10,2;0,34;0,48;2,1;0,052;5;9;0,99458;3,2;0,69;12,1;7;"Chile"
7,4;0,37;0,43;2,6;0,082;18;82;0,99708;3,33;0,68;9,7;6;"Spain"
10,2;0,49;0,63;2,9;0,072;10;26;0,9968;3,16;0,78;12,5;7;"France"
6,2;0,45;0,2;1,6;0,069;3;15;0,9958;3,41;0,56;9,2;5;"France"
13,2;0,46;0,52;2,2;0,071;12;35;1,0006;3,1;0,56;9;6;"Spain"
7;0,32;0,29;7,6;0,025;35;124;0,99162;3,15;0,65;12,8;7;"Argentina"
6,45;0,14;0,42;1,2;0,05;51;129;0,99116;3,27;0,69;11,1;7;"Argentina"
6,7;0,855;0,02;1,9;0,064;29;38;0,99472;3,3;0,56;10,75;6;"France"
8,4;0,2;0,38;11,8;0,055;51;170;1,0004;3,34;0,82;8,9;6;"Argentina"
8,5;0,18;0,51;1,75;0,071;45;88;0,99524;3,33;0,76;11,8;7;"Spain"
7,7;0,965;0,1;2,1;0,112;11;22;0,9963;3,26;0,5;9,5;5;"Spain"
7,1;0,35;0,29;2,5;0,096;20;53;0,9962;3,42;0,65;11;6;"Spain"
7,5;0,19;0,49;1,6;0,047;42;140;0,9932;3,4;0,47;10,7;6;"Argentina"
7,8;0,57;0,31;1,8;0,069;26;120;0,99625;3,29;0,53;9,3;5;"France"
7;0,655;0,16;2,1;0,074;8;25;0,99606;3,37;0,55;9,7;5;"Spain"
8,2;0,64;0,27;2;0,095;5;77;0,99747;3,13;0,62;9,1;6;"Chile"
7,5;0,49;0,2;2,6;0,332;8;14;0,9968;3,21;0,9;10,5;6;"Spain"
11,5;0,42;0,48;2,6;0,077;8;20;0,99852;3,09;0,53;11;5;"Chile"
8;0,52;0,03;1,7;0,07;10;35;0,99575;3,34;0,57;10;5;"France"
7,6;0,34;0,39;7,6;0,04;45;215;0,9965;3,11;0,53;9,2;6;"Argentina"
8,6;0,47;0,27;2,3;0,055;14;28;0,99516;3,18;0,8;11,2;5;"Chile"
9,3;0,43;0,44;1,9;0,085;9;22;0,99708;3,28;0,55;9,5;5;"France"
8,2;0,57;0,26;2,2;0,06;28;65;0,9959;3,3;0,43;10,1;5;"Spain"
7,4;0,29;0,5;1,8;0,042;35;127;0,9937;3,45;0,5;10,2;7;"Argentina"
5,9;0,24;0,3;2;0,033;28;92;0,99225;3,39;0,69;10,9;7;"Argentina"
6,2;0,58;0;1,6;0,065;8;18;0,9966;3,56;0,84;9,4;5;"Chile"
6,9;0,685;0;2,5;0,105;22;37;0,9966;3,46;0,57;10,6;6;"Spain"
5,9;0,29;0,25;13,4;0,067;72;160;0,99721;3,33;0,54;10,3;6;"Spain"
6,5;0,28;0,34;3,6;0,04;29;121;0,99111;3,28;0,48;12,1;7;"Argentina"
6,9;0,54;0,04;3;0,077;7;27;0,9987;3,69;0,91;9,4;6;"Chile"
7,1;0,75;0,01;2,2;0,059;11;18;0,99242;3,39;0,4;12,8;6;"France"
7,4;0,33;0,26;2,6;0,04;29;115;0,9913;3,07;0,52;11,8;7;"Argentina"
9,9;0,25;0,46;1,7;0,062;26;42;0,9959;3,18;0,83;10,6;6;"Spain"
6,8;0,48;0,25;2;0,076;29;61;0,9953;3,34;0,6;10,4;5;"Chile"
6,8;0,6;0,18;1,9;0,079;18;86;0,9968;3,59;0,57;9,3;6;"Chile"
8,6;0,37;0,65;6,4;0,08;3;8;0,99817;3,27;0,58;11;5;"Chile"
7,8;0,43;0,7;1,9;0,464;22;67;0,9974;3,13;1,28;9,4;5;"Spain"
7,5;0,725;0,04;1,5;0,076;8;15;0,99508;3,26;0,53;9,6;5;"Chile"
7,1;0,72;0;1,8;0,123;6;14;0,99627;3,45;0,58;9,8;5;"Chile"
7,6;0,4;0,29;1,9;0,078;29;66;0,9971;3,45;0,59;9,5;6;"Chile"
6,6;0,19;0,99;1,2;0,122;45;129;0,9936;3,09;0,31;8,7;6;"Argentina"
7,8;0,43;0,32;2,8;0,08;29;58;0,9974;3,31;0,64;10,3;5;"Chile"
7,6;0,14;0,74;1,6;0,04;27;103;0,9916;3,07;0,4;10,8;7;"Argentina"
7,8;0,27;0,58;11,2;0,036;44;161;0,9977;3,06;0,41;8,9;6;"Argentina"
5,9;0,395;0,13;2,4;0,056;14;28;0,99362;3,62;0,67;12,4;6;"Spain"
6,1;0,32;0,25;1,8;0,086;5;32;0,99464;3,36;0,44;10,1;5;"Chile"
7,9;0,69;0,21;2,1;0,08;33;141;0,9962;3,25;0,51;9,9;5;"France"
7,6;0,43;0,31;2,1;0,069;13;74;0,9958;3,26;0,54;9,9;6;"Chile"
7,2;0,61;0,08;4;0,082;26;108;0,99641;3,25;0,51;9,4;5;"Spain"
6,4;0,18;0,48;18;0,054;56;183;1,00038;2,98;0,61;8,5;6;"Argentina"
9,6;0,6;0,5;2,3;0,079;28;71;0,9997;3,5;0,57;9,7;5;"France"
9;0,8;0,12;2,4;0,083;8;28;0,99836;3,33;0,65;10,4;6;"Chile"
7,7;0,57;0,21;1,5;0,069;4;9;0,99458;3,16;0,54;9,8;6;"France"
9,7;0,295;0,4;1,5;0,073;14;21;0,99556;3,14;0,51;10,9;6;"Spain"
5,6;0,5;0,09;2,3;0,049;17;99;0,9937;3,63;0,63;13;5;"Spain"
7,7;0,39;0,3;5,2;0,037;29;131;0,9943;3,38;0,44;11;6;"Argentina"
15,5;0,645;0,49;4,2;0,095;10;23;1,00315;2,92;0,74;11,1;5;"Chile"
8,3;0,34;0,4;2,4;0,065;24;48;0,99554;3,34;0,86;11;6;"Chile"
6,6;0,695;0;2,1;0,075;12;56;0,9968;3,49;0,67;9,2;5;"France"
6,2;0,36;0,24;2,2;0,095;19;42;0,9946;3,57;0,57;11,7;6;"France"
6,7;0,31;0,31;4,9;0,031;20;151;0,9926;3,36;0,82;12;7;"Argentina"
7,8;0,56;0,19;1,8;0,104;12;47;0,9964;3,19;0,93;9,5;5;"France"
7,5;0,6;0,03;1,8;0,095;25;99;0,995;3,35;0,54;10,1;5;"Chile"
7;0,735;0,05;2;0,081;13;54;0,9966;3,39;0,57;9,8;5;"France"
7,2;0,33;0,22;4,5;0,031;10;73;0,99076;2,97;0,52;12,2;7;"Argentina"
12;0,28;0,49;1,9;0,074;10;21;0,9976;2,98;0,66;9,9;7;"Spain"
8;0,725;0,24;2,8;0,083;10;62;0,99685;3,35;0,56;10;6;"Chile"
8;0,18;0,37;0,9;0,049;36;109;0,99007;2,89;0,44;12,7;6;"Chile"
7;0,65;0,02;2,1;0,066;8;25;0,9972;3,47;0,67;9,5;6;"Chile"
6,9;0,28;0,37;9,1;0,037;16;76;0,9948;3,05;0,54;11,1;5;"Argentina"
7,1;0,47;0;2,2;0,067;7;14;0,99517;3,4;0,58;10,9;4;"Chile"
11,6;0,41;0,58;2,8;0,096;25;101;1,00024;3,13;0,53;10;5;"Spain"
12;0,37;0,76;4,2;0,066;7;38;1,0004;3,22;0,6;13;7;"Chile"
